"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"
29	28	176	13	9	0	178	39	99	70	3.58	1.23
12	0	18	0	0	0	18	8	14	12	6	1.44
17	17	84.3	6	6	0	99	51	57	63	6.72	1.78
10	3	27	1	2	0	27	5	10	16	5.33	1.19
14	0	30.7	1	0	0	36	8	20	11	3.23	1.44
7	4	21.3	0	2	0	25	18	14	19	8.02	2.02
55	0	42.3	2	3	0	57	14	42	28	5.95	1.68
33	33	200	15	6	0	211	49	119	84	3.78	1.3
33	33	199	12	14	0	216	45	108	92	4.16	1.31
48	0	78.7	4	1	0	86	22	61	31	3.55	1.37
70	0	59.3	2	0	0	53	27	38	16	2.43	1.35
7	0	16	0	0	0	16	2	4	5	2.81	1.13
34	34	211	14	11	0	194	45	147	76	3.24	1.13
57	0	63.7	1	5	1	78	34	55	38	5.37	1.76
5	0	4.3	0	0	0	6	2	6	5	10.38	1.85
61	0	59.3	3	5	26	75	13	44	31	4.7	1.48
16	0	17	0	0	0	16	12	12	4	2.12	1.65
33	33	194	8	13	0	204	30	98	91	4.22	1.21
31	1	36	0	2	1	36	14	22	19	4.75	1.39
76	0	82.7	4	2	1	79	23	67	28	3.05	1.23
57	0	64.7	5	0	0	61	29	49	25	3.48	1.39
31	31	206.3	9	9	0	201	63	139	85	3.71	1.28
25	25	140	10	8	0	122	67	122	65	4.18	1.35
37	0	40	1	0	0	61	15	27	29	6.53	1.9
57	0	42	1	3	0	35	31	37	24	5.14	1.57
25	25	151.3	9	7	0	126	50	123	57	3.39	1.16
82	0	87.3	2	4	7	40	41	114	26	2.68	0.93
29	28	167	11	9	0	172	70	91	84	4.53	1.45
34	7	65.3	3	5	1	60	23	58	28	3.86	1.27
72	0	65	5	3	5	52	26	71	29	4.02	1.2
20	20	109	5	6	0	127	44	87	68	5.61	1.57
5	4	20.7	1	3	0	18	12	23	13	5.66	1.45
42	1	62	2	0	1	71	26	43	27	3.92	1.57
36	9	88.3	6	5	0	68	40	68	31	3.16	1.22
14	1	20	2	2	0	28	11	19	24	10.8	1.95
8	4	22.3	2	1	0	37	14	9	17	6.85	2.28
20	0	20.7	1	2	0	26	9	16	11	4.79	1.69
29	29	167.7	18	3	0	128	94	154	54	2.9	1.32
5	5	22	1	1	0	20	8	10	10	4.09	1.27
68	0	75.7	2	7	1	79	26	59	34	4.04	1.39
37	12	105.3	6	6	0	93	55	87	47	4.02	1.41
8	0	6.3	0	0	0	10	8	5	11	15.63	2.84
4	0	6	0	0	0	5	1	2	0	0	1
19	19	111.3	6	7	0	115	38	85	54	4.37	1.37
34	34	210.3	14	11	0	204	73	183	93	3.98	1.32
18	0	19.7	1	0	0	17	11	8	10	4.58	1.42
9	0	13	0	1	0	11	12	7	10	6.92	1.77
2	0	2	0	0	0	0	1	2	0	0	0.5
25	11	63.3	3	8	1	97	25	35	61	8.67	1.93
15	0	13.7	1	0	0	13	8	6	5	3.29	1.54
73	0	70.3	0	3	0	79	24	49	32	4.09	1.46
13	0	12.7	0	0	1	16	5	7	5	3.55	1.66
11	4	27.7	0	4	0	35	14	20	23	7.48	1.77
9	0	7.7	0	1	0	8	4	8	5	5.87	1.57
10	0	10.3	0	1	0	3	0	5	1	0.87	0.29
29	20	107.3	6	10	0	120	56	89	70	5.87	1.64
8	0	7.7	0	2	1	9	5	8	1	1.17	1.83
46	0	46.7	4	2	0	46	20	43	22	4.24	1.41
68	0	43.3	2	0	2	39	20	44	20	4.15	1.36
29	29	168.7	9	10	0	220	49	125	95	5.07	1.6
45	13	118	8	5	0	118	46	62	56	4.27	1.39
15	7	52.3	0	3	0	56	15	38	33	5.68	1.36
26	3	41	1	3	0	37	23	46	19	4.17	1.46
31	26	150	11	8	0	166	36	82	76	4.56	1.35
5	5	25.3	1	2	0	28	17	9	18	6.39	1.78
1	0	1	0	0	0	1	0	0	0	0	1
5	5	22.3	0	4	0	41	7	9	24	9.67	2.15
45	5	64.7	3	4	10	40	34	75	24	3.34	1.14
16	15	74.7	4	8	0	80	41	48	51	6.15	1.62
12	10	50.3	2	4	0	70	20	37	38	6.79	1.79
58	0	57	5	6	1	52	28	50	26	4.11	1.4
12	0	11	0	0	1	5	3	16	1	0.82	0.73
33	33	196.3	16	7	0	199	62	123	81	3.71	1.33
7	0	5.7	0	1	1	5	1	5	1	1.59	1.06
33	0	38.7	3	2	0	46	10	27	29	6.75	1.45
3	1	1.7	0	0	0	4	2	2	2	10.8	3.6
18	0	23.3	1	1	0	24	7	16	14	5.4	1.33
2	2	7.7	1	0	0	12	3	5	3	3.52	1.96
1	0	1	0	0	0	0	1	0	0	0	1
34	34	200.3	20	9	0	214	31	150	75	3.37	1.22
30	30	190	10	13	0	197	65	163	96	4.55	1.38
68	0	67.7	1	2	39	43	18	74	10	1.33	0.9
59	0	54	3	1	1	42	22	60	12	2	1.19
15	0	13.3	0	1	0	12	4	15	7	4.73	1.2
12	0	15.7	0	0	0	25	12	8	15	8.62	2.36
5	2	16	2	2	0	18	8	14	9	5.06	1.63
3	3	14	1	1	0	20	8	11	11	7.07	2
11	0	10.7	0	1	0	17	2	12	10	8.44	1.78
20	6	71.7	3	5	0	92	37	55	51	6.4	1.8
34	32	212.3	15	8	0	192	42	186	83	3.52	1.1
3	0	4.3	0	0	0	10	4	3	9	18.69	3.23
45	0	48.3	4	1	0	45	15	26	16	2.98	1.24
23	0	32.7	1	2	0	32	19	24	14	3.86	1.56
5	1	9	1	1	0	11	11	4	13	13	2.44
30	0	43.3	0	1	0	49	14	29	22	4.57	1.45
7	0	6.7	0	1	0	16	4	4	15	20.25	3
30	5	62.7	1	4	0	86	31	49	45	6.46	1.87
83	0	58.7	4	1	1	51	22	53	24	3.68	1.24
